year,time_aggregation_value,census_tract,totalrequests
2016.0,1.0,000100,270.0
2016.0,1.0,000201,8.0
2016.0,1.0,000202,231.0
2016.0,1.0,000300,166.0
2016.0,1.0,000400,83.0
2016.0,1.0,000501,108.0
2016.0,1.0,000502,108.0
2016.0,1.0,000600,230.0
2016.0,1.0,000701,119.0
2016.0,1.0,000702,33.0
2016.0,1.0,000801,132.0
2016.0,1.0,000802,99.0
2016.0,1.0,000901,232.0
2016.0,1.0,000902,128.0
2016.0,1.0,001001,390.0
2016.0,1.0,001002,54.0
2016.0,1.0,001100,442.0
2016.0,1.0,001200,224.0
2016.0,1.0,001301,188.0
2016.0,1.0,001302,145.0
2016.0,1.0,001401,155.0
2016.0,1.0,001402,163.0
2016.0,1.0,001500,312.0
2016.0,1.0,001600,379.0
2016.0,1.0,001702,271.0
2016.0,1.0,001803,101.0
2016.0,1.0,001804,245.0
2016.0,1.0,001901,504.0
2016.0,1.0,001902,261.0
2016.0,1.0,002001,150.0
2016.0,1.0,002002,284.0
2016.0,1.0,002101,348.0
2016.0,1.0,002102,422.0
2016.0,1.0,002201,279.0
2016.0,1.0,002202,206.0
2016.0,1.0,002301,285.0
2016.0,1.0,002302,17.0
2016.0,1.0,002400,234.0
2016.0,1.0,002501,167.0
2016.0,1.0,002502,241.0
2016.0,1.0,002600,196.0
2016.0,1.0,002701,193.0
2016.0,1.0,002702,192.0
2016.0,1.0,002801,130.0
2016.0,1.0,002802,161.0
2016.0,1.0,002900,259.0
2016.0,1.0,003000,79.0
2016.0,1.0,003100,201.0
2016.0,1.0,003200,324.0
2016.0,1.0,003301,260.0
2016.0,1.0,003302,176.0
2016.0,1.0,003400,215.0
2016.0,1.0,003500,142.0
2016.0,1.0,003600,138.0
2016.0,1.0,003700,159.0
2016.0,1.0,003800,102.0
2016.0,1.0,003900,139.0
2016.0,1.0,004001,106.0
2016.0,1.0,004002,126.0
2016.0,1.0,004100,129.0
2016.0,1.0,004201,153.0
2016.0,1.0,004202,152.0
2016.0,1.0,004300,178.0
2016.0,1.0,004400,326.0
2016.0,1.0,004600,286.0
2016.0,1.0,004701,87.0
2016.0,1.0,004702,63.0
2016.0,1.0,004801,184.0
2016.0,1.0,004802,134.0
2016.0,1.0,004901,133.0
2016.0,1.0,004902,100.0
2016.0,1.0,005001,103.0
2016.0,1.0,005002,102.0
2016.0,1.0,005201,199.0
2016.0,1.0,005301,133.0
2016.0,1.0,005500,263.0
2016.0,1.0,005600,102.0
2016.0,1.0,005800,374.0
2016.0,1.0,005900,139.0
2016.0,1.0,006202,151.0
2016.0,1.0,006400,66.0
2016.0,1.0,006500,144.0
2016.0,1.0,006600,126.0
2016.0,1.0,006700,158.0
2016.0,1.0,006801,137.0
2016.0,1.0,006802,165.0
2016.0,1.0,006804,21.0
2016.0,1.0,006900,112.0
2016.0,1.0,007000,133.0
2016.0,1.0,007100,133.0
2016.0,1.0,007200,116.0
2016.0,1.0,007301,14.0
2016.0,1.0,007304,146.0
2016.0,1.0,007401,69.0
2016.0,1.0,007403,64.0
2016.0,1.0,007404,144.0
2016.0,1.0,007406,53.0
2016.0,1.0,007407,246.0
2016.0,1.0,007408,50.0
2016.0,1.0,007409,119.0
2016.0,1.0,007502,147.0
2016.0,1.0,007503,168.0
2016.0,1.0,007504,165.0
2016.0,1.0,007601,464.0
2016.0,1.0,007603,256.0
2016.0,1.0,007604,308.0
2016.0,1.0,007605,257.0
2016.0,1.0,007703,258.0
2016.0,1.0,007707,528.0
2016.0,1.0,007708,119.0
2016.0,1.0,007709,178.0
2016.0,1.0,007803,335.0
2016.0,1.0,007804,195.0
2016.0,1.0,007806,141.0
2016.0,1.0,007807,178.0
2016.0,1.0,007808,369.0
2016.0,1.0,007809,260.0
2016.0,1.0,007901,207.0
2016.0,1.0,007903,206.0
2016.0,1.0,008001,206.0
2016.0,1.0,008002,242.0
2016.0,1.0,008100,114.0
2016.0,1.0,008200,101.0
2016.0,1.0,008301,490.0
2016.0,1.0,008302,152.0
2016.0,1.0,008402,117.0
2016.0,1.0,008410,199.0
2016.0,1.0,008701,257.0
2016.0,1.0,008702,158.0
2016.0,1.0,008802,320.0
2016.0,1.0,008803,75.0
2016.0,1.0,008804,176.0
2016.0,1.0,008903,180.0
2016.0,1.0,008904,94.0
2016.0,1.0,009000,52.0
2016.0,1.0,009102,207.0
2016.0,1.0,009201,107.0
2016.0,1.0,009203,241.0
2016.0,1.0,009204,60.0
2016.0,1.0,009301,303.0
2016.0,1.0,009302,117.0
2016.0,1.0,009400,608.0
2016.0,1.0,009501,172.0
2016.0,1.0,009503,448.0
2016.0,1.0,009504,313.0
2016.0,1.0,009505,442.0
2016.0,1.0,009507,212.0
2016.0,1.0,009508,259.0
2016.0,1.0,009509,396.0
2016.0,1.0,009601,162.0
2016.0,1.0,009602,44.0
2016.0,1.0,009603,188.0
2016.0,1.0,009604,315.0
2016.0,1.0,009700,164.0
2016.0,1.0,009801,54.0
2016.0,1.0,009802,59.0
2016.0,1.0,009803,104.0
2016.0,1.0,009804,129.0
2016.0,1.0,009807,222.0
2016.0,1.0,009810,39.0
2016.0,1.0,009811,145.0
2016.0,1.0,009901,425.0
2016.0,1.0,009902,353.0
2016.0,1.0,009903,214.0
2016.0,1.0,009904,125.0
2016.0,1.0,009905,203.0
2016.0,1.0,009906,102.0
2016.0,1.0,009907,145.0
2016.0,1.0,010100,222.0
2016.0,1.0,010200,245.0
2016.0,1.0,010300,203.0
2016.0,1.0,010400,274.0
2016.0,1.0,010500,106.0
2016.0,1.0,010600,366.0
2016.0,1.0,010700,403.0
2016.0,1.0,010800,242.0
2016.0,1.0,010900,41.0
2016.0,1.0,011000,25.0
2016.0,1.0,011100,465.0
2016.0,2.0,000100,272.0
2016.0,2.0,000201,19.0
2016.0,2.0,000202,289.0
2016.0,2.0,000300,129.0
2016.0,2.0,000400,67.0
2016.0,2.0,000501,57.0
2016.0,2.0,000502,59.0
2016.0,2.0,000600,127.0
2016.0,2.0,000701,61.0
2016.0,2.0,000702,29.0
2016.0,2.0,000801,111.0
2016.0,2.0,000802,133.0
2016.0,2.0,000901,148.0
2016.0,2.0,000902,70.0
2016.0,2.0,001001,306.0
2016.0,2.0,001002,47.0
2016.0,2.0,001100,286.0
2016.0,2.0,001200,119.0
2016.0,2.0,001301,111.0
2016.0,2.0,001302,96.0
2016.0,2.0,001401,105.0
2016.0,2.0,001402,100.0
2016.0,2.0,001500,138.0
2016.0,2.0,001600,221.0
2016.0,2.0,001702,195.0
2016.0,2.0,001803,109.0
2016.0,2.0,001804,97.0
2016.0,2.0,001901,171.0
2016.0,2.0,001902,100.0
2016.0,2.0,002001,70.0
2016.0,2.0,002002,194.0
2016.0,2.0,002101,159.0
2016.0,2.0,002102,187.0
2016.0,2.0,002201,138.0
2016.0,2.0,002202,160.0
2016.0,2.0,002301,159.0
2016.0,2.0,002302,32.0
2016.0,2.0,002400,197.0
2016.0,2.0,002501,110.0
2016.0,2.0,002502,197.0
2016.0,2.0,002600,92.0
2016.0,2.0,002701,78.0
2016.0,2.0,002702,138.0
2016.0,2.0,002801,70.0
2016.0,2.0,002802,153.0
2016.0,2.0,002900,137.0
2016.0,2.0,003000,69.0
2016.0,2.0,003100,117.0
2016.0,2.0,003200,217.0
2016.0,2.0,003301,127.0
2016.0,2.0,003302,82.0
2016.0,2.0,003400,192.0
2016.0,2.0,003500,81.0
2016.0,2.0,003600,121.0
2016.0,2.0,003700,74.0
2016.0,2.0,003800,104.0
2016.0,2.0,003900,100.0
2016.0,2.0,004001,90.0
2016.0,2.0,004002,67.0
2016.0,2.0,004100,92.0
2016.0,2.0,004201,109.0
2016.0,2.0,004202,127.0
2016.0,2.0,004300,125.0
2016.0,2.0,004400,278.0
2016.0,2.0,004600,218.0
